Symbol|Security Name|Market Category|Status|Test Issue
AEMAF|Alchemia Ltd Ordinary Shares (Australia)|NBB||
AEMAY|Alchemia Ltd Sponsored ADR (Australia)|NBB||
AEMC|Archer Entertainment Media Communications Incorporated New Common Stock|NBB||
AEMD|Aethion Medical Inc. Common Stock|NBB||
AEMMF|A2A SpA Ordinary Shares|NBB||
AEMMY|A2A SpA Unsponsored ADR (Italy)|NBB||
AENG|Advanced Engine Technologies, Inc. Common Stock|NBB||
AEOJF|Aeon Financial Services Co Ltd (Jpn) Ordinary Shares|NBB||
AEORF|Aleo  Solar Ag Namen Akt Shares (Germany)|NBB||
AEOXF|Aeroports de Paris Adp Ordinary Shares (France)|NBB||
AEPLF|Anglo Eastern Plantations PLC Ordinary Shares|NBB||
AERAY|Aeroflot Russian International Airlines Sponsored 144A GDR (Russia)|NBB||
AERG|Applied Energetics, Inc Common Stock|NBB||
AERGP|Applied Energetics, Inc. Series A Convertible Preferred Stock|BB|ACTIVE|
AERN|AER Energy Resources, Inc. Common Stock|NBB||
AERO|AeroGrow International, Inc. Common Stock|NBB||
AERS|Aerius Common Stock|NBB||
AERT|Advanced Environmental Recycling Technologies, Inc. Class A Common Stock|NBB||
AERUF|Aeroflot Moscow Ordinary Shares|NBB||
AERZY|Aeroflot Russian Airlines JSC Sponsored ADR (Russia)|NBB||
AESAY|AES Tiete SA  Sponsored ADR|NBB||
AESO|Atlantic Energy Solutions Inc Common Stock|NBB||
AESYY|AES Tiete SA Sponsored ADR representing Preferred Stock|NBB||
AETR|Alliance Enterprise Corporation (The) Common Stock (NV)|NBB||
AETUF|Arc Resources Ltd. Ordinary Shares (Canada)|NBB||
AEXAF|Atos Origin SA Ordinary Shares (France)|NBB||
AEXAY|Atos Origin SA Unsponsored ADR (France)|NBB||
AEXE|Aim Exploration Inc Common Stock|NBB||
AEXFF|Aminex Plc Ord Ordinary Shares|NBB||
AEYE|AudioEye, Inc Common Stock|NBB||
AEYIF|Arsenal Energy Inc Common Shares (Canada)|NBB||
AEYYF|Redbank Energy Ltd. Ordinary Shares (Australia)|NBB||
AFAI|Alternative Fuels America, Inc. Common Stock|NBB||
AFAN|AF Ocean Investment Management Co. Common|NBB||
AFAP|AFA Protective Systems Inc. Common Stock|NBB||
AFBA|Allied First Bancorp, Inc. (Maryland) Common Stock|BB|ACTIVE|
AFBG|American Fiber Green Products, Inc. Common Stock|NBB||
AFBOF|African Rainbow Minerals Limited Ordinary Shares (South Africa)|NBB||
AFCJF|AFC Ajax NV Amsterdam Ordinary Shares (Netherlands)|NBB||
AFCL|Amcor Financial Corp Common Stock|NBB||
AFCMF|Afri-Can Marine Minerals Corporation New Ordinary Shares (Canada)|NBB||
AFCRF|Africo Res Ltd Common Shares (Canada)|NBB||
AFCSF|African Consolidated Resources plc Ordinary Shares (United Kingdom)|NBB||
AFCT|AFC Building Technologies Inc. Common Stock|BB|ACTIVE|
AFDVF|AFI Development PLC SHS SERIES B (Cyprus)|NBB||
AFFL|Affiliated Resources Corporation Common Stock|NBB||
AFFM|Affirmative Insurance Holdings, Inc. Common Stock|NBB||
AFFN|Affinity Networks, Inc. Common Stock|NBB||
AFFU|Affluence Corporation Common Stock|NBB||
AFFW|Affinity Mediaworks Corp. Common Stock|BB|ACTIVE|
AFFY|Affymax, Inc. Common Stock|NBB||
AFGP|AmTrust Financial Group Inc Common Stock|NBB||
AFGRF|Afgri Limited Ordinary Shares (South Africa)|NBB||
AFGVF|Agfa Gevaert NV Ordinary Shares|NBB||
AFGVY|Agfa Gevaert NV Unsponsored ADR (Belgium)|NBB||
AFIDY|AFI Dev Plc Global Depositary Share Reg S (Sponsored) (Cyprus)|NBB||
AFIMF|Africa Israel Inv Ord Ordinary Shares|NBB||
AFIPA|Amfi Corp Common Stock|NBB||
AFIVY|Africa Israel Invts Ltd Sponsored ADR|NBB||
AFLO|Auction Floor, Inc. Common Stock New|NBB||
AFLYY|Air France ADS ADS|NBB||
AFMCF|African Metals Corporation Ordinary Shares|NBB||
AFMJF|Alphamin Resources Corp Ordinary Shares|NBB||
AFML|Aerofoam Metals Inc. Common Stock|NBB||
AFNL|AmTrust Financial Corporation Common Stock|NBB||
AFOVF|Australian Foundation Invt Co Ordinary Shares (Australia)|NBB||
AFOXY|African Oxygen Ltd Unsponsored ADR (South Africa)|NBB||
AFPW|AlumiFuel Power Corporation Common Stock|NBB||
AFQMF|African Queen Mines Ltd. Ordinary Shares (Canada)|NBB||
AFRAF|Air France KLM Ordinary Shares (France)|NBB||
AFRBY|African Rainbow Minerals Limited Sponsord ADR (South Africa)|NBB||
AFRMF|Alphaform Ag Ordinary Shares|NBB||
AFRNF|Afren plc London Ordinary Shares (United Kingdom)|NBB||
AFRNY|Afren plc London Unsponsored American Depository Receipt (United Kingdom)|NBB||
AFRS|American First Financial, Inc. Common Stock|NBB||
AFRVF|African Bank Investments, Ltd. Ordinary Shares (South Africa)|NBB||
AFRVY|African Bank Investments Ltd Sponsored ADR (South Africa)|NBB||
AFSE|All Energy Corporation Common Stock|NBB||
AFSLF|Amiad Filtration Systems Ltd Ordinary shares (Israel)|NBB||
AFTC|Alternative Fuel Technologies Inc Common Stock|NBB||
AFYG|Affinity Gold Corp. Common Stocks|NBB||
AGBAY|A G Barr Plc Unsponsored ADR (United Kingdom)|NBB||
AGBCF|Algae Biosciences Corp Common Shares (Canada)|NBB||
AGBRE|AgriVest Americas, Inc. Common Stock|NBB||
AGCBF|Amarillo Gold Corporation Ordinary Shares (Canada)|NBB||
AGCCF|Gensource Potash Corp. Ordinary Shares (Canada)|NBB||
AGCR|Agiss Corporation Common Stock|NBB||
AGCZ|Andes Gold Corp. Common Stock|NBB||
AGDNF|Tallgrass Energy Corp New Ordinary Shares (Canada)|NBB||
